region,population,male,female,household_korean,population_korean,male_korean,female_korean,population_foreigner,male_foreigner,female_foreigner
Seoul,9736027,4721977,5014050,4426007,9509458,4618040,4891418,226569,103937,122632
Busan,3396109,1663619,1732490,1544663,3350380,1639044,1711336,45729,24575,21154
Daegu,2412642,1189901,1222741,1063893,2385412,1175632,1209780,27230,14269,12961
Incheon,3014739,1513277,1501462,1298647,2948375,1476373,1472002,66364,36904,29460
Gwangju,1462545,724178,738367,645712,1441611,713015,728596,20934,11163,9771
Daejeon,1469543,732593,736950,664417,1452251,724626,727625,17292,7967,9325
Ulsan,1138419,586031,552388,482650,1121592,576217,545375,16827,9814,7013
Sejong,376779,188619,188160,153649,371895,185678,186217,4884,2941,1943
Gyeonggi,13925862,7038296,6887566,5841995,13565450,6827298,6738152,360412,210998,149414
Gangwon,1555876,783743,772133,746220,1538492,774332,764160,17384,9411,7973
Chungbuk,1633472,832743,800729,760672,1597427,810672,786755,36045,22071,13974
Chungnam,2181835,1120429,1061406,1001915,2119257,1083366,1035891,62578,37063,25515
Jeonbuk,1817186,905672,911514,849001,1786855,888994,897861,30331,16678,13653
Jeonnam,1865459,943018,922441,903108,1832803,922221,910582,32656,20797,11859
Gyeongbuk,2677709,1355128,1322581,1276846,2626609,1323661,1302948,51100,31467,19633
Gyeongnam,3377331,1709989,1667342,1505971,3314183,1668338,1645845,63148,41651,21497
Jeju,697476,350822,346654,307529,676759,339177,337582,20717,11645,9072
